timestamp,operation,operand1,operand2,result,instance_id
2025-10-18 18:06:47,Percentage,6,2,3.0,
2025-10-18 18:35:19,Percentage,100,2,50.0,
2025-10-18 18:36:26,Multiplication,3,4,12.0,
2025-10-18 18:37:01,Multiplication,4,3,12.0,
2025-10-18 18:37:05,IntegerDivision,3,6,0.0,
2025-10-19 07:48:35,Percentage,2,5,0.4,
2025-10-19 07:49:14,Percentage,1,2,0.5,
2025-10-23 11:51:17,Percentage,33,3,1100.0,394a205e-e12b-4020-a423-94bedd54dc97
2025-10-23 11:51:17,Percentage,33,3,1100.0,394a205e-e12b-4020-a423-94bedd54dc97
2025-10-23 11:51:39,Modulo,4,5,4.0,394a205e-e12b-4020-a423-94bedd54dc97
2025-10-23 11:51:39,Modulo,4,5,4.0,394a205e-e12b-4020-a423-94bedd54dc97
2025-10-23 11:55:25,Percentage,3,2,150.0,3c37d587-5db5-436f-8cee-9f42f35a579d
2025-10-23 11:55:25,Percentage,3,2,150.0,3c37d587-5db5-436f-8cee-9f42f35a579d
2025-10-23 11:55:27,Modulo,5,4,1.0,3c37d587-5db5-436f-8cee-9f42f35a579d
2025-10-23 11:55:27,Modulo,5,4,1.0,3c37d587-5db5-436f-8cee-9f42f35a579d
2025-10-23 11:55:30,Multiplication,6,7,42.0,3c37d587-5db5-436f-8cee-9f42f35a579d
2025-10-23 11:55:30,Multiplication,6,7,42.0,3c37d587-5db5-436f-8cee-9f42f35a579d
2025-10-23 11:55:32,IntegerDivision,4,4,1.0,3c37d587-5db5-436f-8cee-9f42f35a579d
2025-10-23 11:55:32,IntegerDivision,4,4,1.0,3c37d587-5db5-436f-8cee-9f42f35a579d
2025-10-23 12:01:27,Percentage,3,4,75.0,5c5f43d1-1266-446d-a690-797768792787
2025-10-23 12:01:27,Percentage,3,4,75.0,5c5f43d1-1266-446d-a690-797768792787
2025-10-23 12:01:30,Multiplication,5,6,30.0,5c5f43d1-1266-446d-a690-797768792787
2025-10-23 12:01:30,Multiplication,5,6,30.0,5c5f43d1-1266-446d-a690-797768792787
2025-10-23 12:01:42,IntegerDivision,33,44,0.0,5c5f43d1-1266-446d-a690-797768792787
2025-10-23 12:01:42,IntegerDivision,33,44,0.0,5c5f43d1-1266-446d-a690-797768792787
2025-10-23 12:03:57,Root,44,56,1.0699,848468a0-e8a0-4746-b65b-af577d464706
2025-10-23 12:03:57,Root,44,56,1.0699,848468a0-e8a0-4746-b65b-af577d464706
2025-10-23 12:05:19,Absdifference,33,67,34.0,848468a0-e8a0-4746-b65b-af577d464706
2025-10-23 12:05:19,Absdifference,33,67,34.0,848468a0-e8a0-4746-b65b-af577d464706
2025-10-23 12:05:24,IntegerDivision,44,345,0.0,848468a0-e8a0-4746-b65b-af577d464706
2025-10-23 12:05:24,IntegerDivision,44,345,0.0,848468a0-e8a0-4746-b65b-af577d464706
2025-10-23 13:47:25,Percentage,3,4,75.0,1d04720a-d90b-4ffb-a5e1-e8ab302f9c6e
2025-10-23 13:47:25,Percentage,3,4,75.0,1d04720a-d90b-4ffb-a5e1-e8ab302f9c6e
2025-10-23 13:47:58,Modulo,4,55,4.0,1d04720a-d90b-4ffb-a5e1-e8ab302f9c6e
2025-10-23 13:47:58,Modulo,4,55,4.0,1d04720a-d90b-4ffb-a5e1-e8ab302f9c6e
2025-10-23 13:48:02,Multiplication,3,22,66.0,1d04720a-d90b-4ffb-a5e1-e8ab302f9c6e
2025-10-23 13:48:02,Multiplication,3,22,66.0,1d04720a-d90b-4ffb-a5e1-e8ab302f9c6e
2025-10-23 13:49:08,Root,55,66,1.0626,addef615-907b-430e-9c9c-bd783ee7f2db
2025-10-23 13:49:08,Root,55,66,1.0626,addef615-907b-430e-9c9c-bd783ee7f2db
2025-10-23 13:49:12,IntegerDivision,44,55,0.0,addef615-907b-430e-9c9c-bd783ee7f2db
2025-10-23 13:49:12,IntegerDivision,44,55,0.0,addef615-907b-430e-9c9c-bd783ee7f2db
2025-10-23 13:54:12,Percentage,4,55,7.2727,3d93150b-f391-4b88-a489-46d61c328a61
2025-10-23 13:54:22,IntegerDivision,8,99,0.0,3d93150b-f391-4b88-a489-46d61c328a61
2025-10-23 14:09:06,Percentage,4,3,133.3333,d6f9e05c-5e89-4474-a64b-475e6b3b8a68
2025-10-23 14:09:11,Multiplication,5,66,330.0,d6f9e05c-5e89-4474-a64b-475e6b3b8a68
2025-10-23 14:09:21,Percentage,3,4,75.0,d6f9e05c-5e89-4474-a64b-475e6b3b8a68
2025-10-24 17:16:58,Percentage,3,4,75.0,6421a635-19f1-43fc-b775-3742c84706a1
2025-10-24 18:05:19,Percentage,4,5,80.0,6a478964-61db-4c65-ba17-84ec87a5415e
2025-10-24 18:05:26,Absdifference,4,6,2.0,6a478964-61db-4c65-ba17-84ec87a5415e
2025-10-24 18:05:29,IntegerDivision,7,8,0.0,6a478964-61db-4c65-ba17-84ec87a5415e
2025-10-24 18:06:20,IntegerDivision,44,55,0,96089247-21df-490a-a456-174c76d59aff
